date,symbol,pnl_usd,cumulative_usd
2025-07-07,IEF,19.65,8049.7
2025-07-07,TLT,17.25,8066.95
2025-07-07,LQD,38.85,8105.8
2025-07-07,AGG,15.34,8121.14
2025-07-08,XLF,19.27,8140.41
2025-07-11,GDX,51.07,8191.48
2025-07-15,XLP,22.18,8213.66
2025-07-15,XLV,54.09,8267.75
2025-07-18,KRE,-88.66,8179.09
2025-07-28,EFA,93.81,8272.9
2025-07-28,HYG,25.02,8297.92
2025-07-28,XLC,91.77,8389.69
2025-07-28,XLU,29.8,8419.49
2025-07-28,XLB,33.16,8452.65
2025-07-29,IWM,58.07,8510.72
2025-07-30,XLY,112.97,8623.69
2025-08-01,EEM,31.6,8655.29
2025-08-01,XLK,123.11,8778.4
2025-08-01,SPY,63.52,8841.92
2025-08-04,SLV,19.24,8861.16
2025-08-06,EWZ,18.09,8879.25
2025-08-06,XBI,50.58,8929.83
2025-08-11,XLE,8.47,8938.3
2025-08-12,QQQ,91.45,9029.75
2025-08-15,XLI,59.53,9089.28
2025-08-21,GDX,31.48,9120.76
2025-08-26,KRE,30.62,9151.38
2025-08-26,XLF,13.43,9164.81
2025-08-27,LQD,86.3,9251.11
2025-08-28,SLV,9.13,9260.24
2025-08-28,XLU,19.89,9280.13
2025-08-29,XLRE,40.03,9320.16
2025-09-02,IEF,47.87,9368.03
2025-09-04,FXI,15.46,9383.49
2025-09-05,EEM,26.39,9409.88
2025-09-08,EFA,101.58,9511.46
2025-09-08,XLI,109.19,9620.65
2025-09-09,HYG,14.62,9635.27
2025-09-09,XLB,40.67,9675.94
2025-09-09,XLY,101.33,9777.27
2025-09-10,SMH,94.33,9871.6
2025-09-11,XLP,33.37,9904.97
2025-09-15,VNQ,21.41,9926.38
2025-09-19,AGG,8.85,9935.23
2025-09-19,EWZ,-61.9,9873.33
